GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_living_arrangements,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_all_work_indicators,index_eq_work_economic,index_eq_housing_affordability,index_eq_negative_work,index_eq_positive_work,index_eq_adaparc,index_rel_community_living,index_rel_community_resource,index_rel_housing_access,index_rel_living_arrangements,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_safety,index_rel_tech,index_rel_all_work_indicators,index_rel_work_economic,index_rel_housing_affordability,index_rel_negative_work,index_rel_positive_work,index_rel_adaparc,index_adaparc
02,Alaska,AK,2024,40.5186013344597,40.5186013344597,62.12844096054228,56.53615707429337,52.38863048827146,45.706383093005975,93.8825931865983,53.993498953978055,48.87364611414769,43.75379327431733,37.92721533352564,70.05978257443047,50.506896136383226,58.68273533245895,78.8098447544971,41.5726559595109,55.66570528336885,58.608931177181674,55.50207478771125,56.92192530233014,34.59088407205256,58.69850427492033,87.3312674488941,54.36449976467691,62.60676788784441,70.84903601101192,54.39667411701918,54.33232541233463,59.966144799161675,55.23652046777245
01,Alabama,AL,2024,52.616776585660894,52.616776585660894,53.89297591416235,48.056378502557365,77.26403912223446,61.756360561884755,28.495125469972805,51.06503054036307,63.69703463036056,76.32903872035806,44.350106666643825,57.779954414082304,56.73559571006126,27.94551622365668,15.838411675992708,8.650807216878558,59.34732977809879,27.248606148185864,17.348235637600553,16.57824624453193,36.96796703168113,43.03924518370903,22.30933664340669,38.24502588198828,32.16680249210934,26.0885791022304,42.97753612016563,33.51251564381094,29.12030828798396,42.92795199902261
05,Arkansas,AR,2024,42.26803953487211,42.26803953487211,45.90073195116758,43.133937238804336,65.13103629286537,39.89603238513015,35.44192188787046,54.89572201689188,73.52413604021838,92.15255006354488,60.100387674123645,49.69105635966012,53.897635842086025,43.30961144812422,15.471604390127393,42.764607763430966,71.69262219081432,26.24037975801678,20.37603958949393,17.6064119921272,49.1277715022455,19.133809999768125,24.957865706449144,25.47270273844207,17.517499170903232,9.562295603364396,35.827939321932405,15.117466154951735,29.02249679234808,41.460066317217056
04,Arizona,AZ,2024,47.0819232601846,47.0819232601846,52.212240444602486,27.565537289225063,49.50317438365286,39.832153763111016,91.94809634242098,55.38599727655805,44.397811616208,33.40962595585796,29.954112165877095,80.81788238723901,47.89732510699836,37.11088522182152,4.581583309903341,39.26594345856845,67.48512889699278,57.1809869662877,55.50207478771125,61.71946246761911,37.7356155234377,48.34153242206583,82.60624963060462,57.707639077373,63.173010819086585,68.63838256080017,57.36818357815707,58.04709457658894,52.48829433573193,50.192809721365144
06,California,CA,2024,59.08159644374894,59.08159644374894,60.61977332103031,51.57363340834249,62.918752746097226,42.00439925692637,85.98230787275516,54.53641436596604,27.67988214657,0.8233499271739575,42.92728938482734,66.14553934710474,49.12708397044975,57.96742571619328,95.34030496675416,39.26594345856845,39.29602872325725,59.90314280905615,66.08915659185438,36.613180718949245,54.98918998124447,56.31891575723144,85.50527099600122,41.44476119740453,52.95168487419083,64.45860855097713,37.75129829307637,45.1382241017327,56.940751133146755,53.033917551798254
08,Colorado,CO,2024,53.95811101975713,53.95811101975713,57.66276664225968,72.28641449707965,24.10328952969214,48.89715393630768,85.36420860595922,43.65079423405431,27.519933013462175,11.38907179287004,37.21585639150193,50.08573207660669,46.380270225159656,70.65703634421358,86.77115422931975,77.70147283551017,47.49848196781083,64.77494105702675,56.67288414136449,91.9131800315977,54.14359657554002,32.55272073976403,88.59232379686749,77.23979585878992,75.62328240582256,74.00676895285521,66.53955625209555,87.94003546548429,70.35175326902096,58.36601174709031
09,Connecticut,CT,2024,49.730962592314576,49.730962592314576,43.85758802069952,53.97462958163794,45.56064770637116,46.030895372417206,29.864179422371752,41.96157389425639,29.962582243642743,17.963590593029096,69.86700481782749,14.056142970685286,41.183710952218945,49.19275589672621,70.62025112689614,41.48035776910177,35.477658794180726,61.91168318826114,60.58154337498187,54.20866638886856,61.86462758640957,80.68522547081332,52.2183531202324,45.81370600152799,50.129835557350944,54.44596511317389,43.39170540168098,48.235706601375,53.74475821411276,47.46423458316585
11,District of Columbia,DC,2024,63.319329143223186,63.319329143223186,52.85612157802294,99.90290097142974,43.41750918897681,55.41543253569034,12.688643615994886,42.73939943143321,38.76525038010123,34.79110132876926,72.79791437453595,12.680884488330472,51.64690036711579,32.58368741181942,70.240250007593,10.21867433583095,17.292137892034294,53.626570067079136,99.99997307345043,69.0986366755327,60.410497404494414,0.00413282285744998,38.619610359060665,49.77655071686758,71.6561695106588,93.53578830445,29.18174462438078,70.37135680935438,52.62214232985245,52.134521348484114
10,Delaware,DE,2024,40.74002375744229,40.74002375744229,58.19122262960953,58.53375574901956,43.352252190493466,49.23784443878315,81.6410381401419,39.28644682790986,43.564645125843995,47.84284342377812,25.28150949444308,53.29138416137664,47.4986305042986,61.488624465453334,68.21501401747297,40.90667230499701,75.34418707389003,59.15251544492736,41.880360710192534,67.37964473619544,72.28929415413124,37.06503066138238,77.1482469627352,67.8111725248584,60.655105921865186,53.49903931887196,69.71420254909007,65.90814250062674,60.432081944081965,53.96535622419029
12,Florida,FL,2024,56.019882837651934,56.019882837651934,60.04951100383152,46.088951602314445,61.92581549134965,43.82006427288664,88.36321264877535,58.1614246924492,31.942731093503944,5.7240374945586865,43.53665496750971,72.7861944173887,49.33737497832913,40.33305642957141,39.07105691969501,28.16186635328208,53.76624601573712,58.84835595632069,43.35715257915852,57.96644046694705,31.515143001489633,80.8440150344847,80.55902869952351,41.281466594622394,45.947766822922226,50.61406705122206,49.855698427365574,32.707234761879214,48.376393069604774,48.85688402396696
